,Date,T10Y2Y
0,1994-01-07,1.61
1,1994-01-14,1.61
2,1994-01-21,1.64
3,1994-01-28,1.6
4,1994-02-04,1.52
5,1994-02-11,1.44
6,1994-02-18,1.52
7,1994-02-25,1.49
8,1994-03-04,1.5
9,1994-03-11,1.51
10,1994-03-18,1.46
11,1994-03-25,1.51
12,1994-04-01,1.56
13,1994-04-08,1.51
14,1994-04-15,1.46
15,1994-04-22,1.31
16,1994-04-29,1.33
17,1994-05-06,1.23
18,1994-05-13,1.24
19,1994-05-20,1.22
20,1994-05-27,1.15
21,1994-06-03,1.14
22,1994-06-10,1.18
23,1994-06-17,1.26
24,1994-06-24,1.16
25,1994-07-01,1.15
26,1994-07-08,1.17
27,1994-07-15,1.21
28,1994-07-22,1.14
29,1994-07-29,1.13
30,1994-08-05,1.1
31,1994-08-12,1.05
32,1994-08-19,1.04
33,1994-08-26,1.03
34,1994-09-02,1.04
35,1994-09-09,1.09
36,1994-09-16,1.1
37,1994-09-23,1.05
38,1994-09-30,1.0
39,1994-10-07,1.05
40,1994-10-14,1.04
41,1994-10-21,1.01
42,1994-10-28,1.0
43,1994-11-04,0.99
44,1994-11-11,0.92
45,1994-11-18,0.78
46,1994-11-25,0.61
47,1994-12-02,0.37
48,1994-12-09,0.26
49,1994-12-16,0.22
50,1994-12-23,0.11
51,1994-12-30,0.15
52,1995-01-06,0.23
53,1995-01-13,0.3
54,1995-01-20,0.32
55,1995-01-27,0.37
56,1995-02-03,0.35
57,1995-02-10,0.29
58,1995-02-17,0.36
59,1995-02-24,0.44
60,1995-03-03,0.47
61,1995-03-10,0.4
62,1995-03-17,0.43
63,1995-03-24,0.45
64,1995-03-31,0.4
65,1995-04-07,0.46
66,1995-04-14,0.52
67,1995-04-21,0.57
68,1995-04-28,0.47
69,1995-05-05,0.53
70,1995-05-12,0.47
71,1995-05-19,0.42
72,1995-05-26,0.43
73,1995-06-02,0.56
74,1995-06-09,0.39
75,1995-06-16,0.44
76,1995-06-23,0.42
77,1995-06-30,0.42
78,1995-07-07,0.5
79,1995-07-14,0.45
80,1995-07-21,0.58
81,1995-07-28,0.57
82,1995-08-04,0.59
83,1995-08-11,0.54
84,1995-08-18,0.44
85,1995-08-25,0.48
86,1995-09-01,0.44
87,1995-09-08,0.39
88,1995-09-15,0.4
89,1995-09-22,0.4
90,1995-09-29,0.34
91,1995-10-06,0.33
92,1995-10-13,0.3
93,1995-10-20,0.32
94,1995-10-27,0.41
95,1995-11-03,0.45
96,1995-11-10,0.48
97,1995-11-17,0.46
98,1995-11-24,0.42
99,1995-12-01,0.39
100,1995-12-08,0.34
101,1995-12-15,0.39
102,1995-12-22,0.43
103,1995-12-29,0.4
104,1996-01-05,0.49
105,1996-01-12,0.58
106,1996-01-19,0.51
107,1996-01-26,0.57
108,1996-02-02,0.76
109,1996-02-09,0.81
110,1996-02-16,0.86
111,1996-02-23,0.84
112,1996-03-01,0.73
113,1996-03-08,0.68
114,1996-03-15,0.59
115,1996-03-22,0.58
116,1996-03-29,0.55
117,1996-04-05,0.48
118,1996-04-12,0.56
119,1996-04-19,0.58
120,1996-04-26,0.62
121,1996-05-03,0.7
122,1996-05-10,0.71
123,1996-05-17,0.61
124,1996-05-24,0.62
125,1996-05-31,0.58
126,1996-06-07,0.53
127,1996-06-14,0.66
128,1996-06-21,0.61
129,1996-06-28,0.62
130,1996-07-05,0.62
131,1996-07-12,0.59
132,1996-07-19,0.6
133,1996-07-26,0.6
134,1996-08-02,0.6
135,1996-08-09,0.57
136,1996-08-16,0.61
137,1996-08-23,0.63
138,1996-08-30,0.62
139,1996-09-06,0.61
140,1996-09-13,0.64
141,1996-09-20,0.59
142,1996-09-27,0.61
143,1996-10-04,0.63
144,1996-10-11,0.63
145,1996-10-18,0.61
146,1996-10-25,0.64
147,1996-11-01,0.59
148,1996-11-08,0.53
149,1996-11-15,0.51
150,1996-11-22,0.46
151,1996-11-29,0.47
152,1996-12-06,0.53
153,1996-12-13,0.56
154,1996-12-20,0.52
155,1996-12-27,0.49
156,1997-01-03,0.57
157,1997-01-10,0.57
158,1997-01-17,0.56
159,1997-01-24,0.57
160,1997-01-31,0.59
161,1997-02-07,0.57
162,1997-02-14,0.49
163,1997-02-21,0.51
164,1997-02-28,0.47
165,1997-03-07,0.47
166,1997-03-14,0.53
167,1997-03-21,0.45
168,1997-03-28,0.45
169,1997-04-04,0.48
