cell,Mean duration (weeks),n spells,CI lo,CI hi
full / GMM pointwise,9.0,174,6.64367816091954,11.649425287356323
full / HMM Viterbi,55.9,28,35.214285714285715,80.35892857142855
full / HMM smoothed,55.9,28,35.21339285714286,80.39285714285714
full / HMM filtered,41.2,38,24.736842105263158,60.23684210526316
rolling / GMM pointwise,6.2,245,5.208163265306123,7.244897959183674
rolling / HMM Viterbi,18.9,80,14.9375,23.3875
rolling / HMM smoothed,17.2,88,14.090909090909092,20.568181818181817
rolling / HMM filtered,13.5,112,11.151562499999999,16.0625
expanding / GMM pointwise,7.3,208,5.524038461538462,9.303004807692306
expanding / HMM Viterbi,50.4,30,31.266666666666666,73.7683333333333
expanding / HMM smoothed,50.4,30,31.265833333333333,73.73416666666665
expanding / HMM filtered,37.8,40,22.875,56.8
